x,y,source_file,x_snap,y_snap,cluster
94.13020833333334,18.141633157700127,Default Dataset.csv,94.0,18.0,6
91.55208333333334,19.519804954705123,Default Dataset.csv,91.5,19.5,0
91.5,21.483141523386948,Default Dataset.csv,91.5,21.5,0
89.36458333333334,21.580606396746163,Default Dataset.csv,89.5,21.5,7
87.95833333333334,19.632291088925864,Default Dataset.csv,88.0,19.5,4
85.74479166666667,19.663113560732118,Default Dataset.csv,85.5,19.5,1
84.65104166666667,17.548755546311703,Default Dataset.csv,84.5,17.5,1
90.90104166666669,17.206270798668886,Default Dataset.csv,91.0,17.0,6
88.609375,17.786091467923832,Default Dataset.csv,88.5,18.0,4
86.890625,18.00049107968201,Default Dataset.csv,87.0,18.0,4
88.82136270869705,18.62189054726368,Default Dataset (1).csv,89.0,18.5,4
92.25452637963396,19.33499170812604,Default Dataset (1).csv,92.5,19.5,0
88.09792061111249,21.374792703150916,Default Dataset (1).csv,88.0,21.5,7
93.098043554878,17.991708126036485,Default Dataset (1).csv,93.0,18.0,6
85.08784741859074,19.451077943615257,Default Dataset (1).csv,85.0,19.5,1
90.42184464825787,20.960199004975124,Default Dataset (1).csv,90.5,21.0,0
90.46950584802512,21.67330016583748,Default Dataset (1).csv,90.5,21.5,0
82.79095163806552,17.0770319554504,Default Dataset (2).csv,83.0,17.0,1
84.10140405616225,18.56854459608848,Default Dataset (2).csv,84.0,18.5,1
91.73010920436818,18.17961380706884,Default Dataset (2).csv,91.5,18.0,6
86.55850234009361,18.35602483701997,Default Dataset (2).csv,86.5,18.5,1
93.0873634945398,18.0652178405017,Default Dataset (2).csv,93.0,18.0,6
92.5257410296412,19.372544968023885,Default Dataset (2).csv,92.5,19.5,0
89.41341653666147,19.799573307435608,Default Dataset (2).csv,89.5,20.0,7
91.09828393135726,20.94381709043196,Default Dataset (2).csv,91.0,21.0,0
88.75819032761311,21.504148112944385,Default Dataset (2).csv,89.0,21.5,7
86.51170046801873,20.67385397402651,Default Dataset (2).csv,86.5,20.5,7
90.58346333853356,22.08563296174231,Default Dataset (2).csv,90.5,22.0,0
90.89144736842104,17.660033167495857,Default Dataset (3).csv,91.0,17.5,6
87.63486842105263,17.560530679933667,Default Dataset (3).csv,87.5,17.5,4
83.86019736842105,17.079601990049753,Default Dataset (3).csv,84.0,17.0,1
82.42927631578948,16.913764510779437,Default Dataset (3).csv,82.5,17.0,1
84.27960526315789,18.62189054726368,Default Dataset (3).csv,84.5,18.5,1
85.61184210526315,18.986733001658376,Default Dataset (3).csv,85.5,19.0,1
85.98190789473685,19.948590381426204,Default Dataset (3).csv,86.0,20.0,7
86.82072368421052,20.927031509121065,Default Dataset (3).csv,87.0,21.0,7
89.13980263157895,21.50746268656717,Default Dataset (3).csv,89.0,21.5,7
89.18914473684211,19.517412935323385,Default Dataset (3).csv,89.0,19.5,4
91.33552631578948,20.827529021558878,Default Dataset (3).csv,91.5,21.0,0
91.01480263157896,21.80597014925373,Default Dataset (3).csv,91.0,22.0,0
90.645056726094,18.59235029570556,Default Dataset (4).csv,90.5,18.5,4
87.9708265802269,18.721848937928662,Default Dataset (4).csv,88.0,18.5,4
84.32414910858995,17.691333841381606,Default Dataset (4).csv,84.5,17.5,1
82.57374392220422,16.861587257290672,Default Dataset (4).csv,82.5,17.0,1
86.00162074554295,19.663384030826364,Default Dataset (4).csv,86.0,19.5,1
86.94975688816855,21.286947095001448,Default Dataset (4).csv,87.0,21.5,7
88.38411669367909,21.520318353064926,Default Dataset (4).csv,88.5,21.5,7
88.967585089141,21.0408299075853,Default Dataset (4).csv,89.0,21.0,7
90.54781199351702,21.98628269666298,Default Dataset (4).csv,90.5,22.0,0
91.9578606158833,20.13353440595919,Default Dataset (4).csv,92.0,20.0,0
92.61426256077796,18.52829864651647,Default Dataset (4).csv,92.5,18.5,6
93.36790923824958,17.61853445962626,Default Dataset (4).csv,93.5,17.5,6
91.3393555473992,20.85064521836027,Default Dataset (5).csv,91.5,21.0,0
90.7443604456192,22.1426926743225,Default Dataset (5).csv,90.5,22.0,0
88.85183874690065,21.0686226099723,Default Dataset (5).csv,89.0,21.0,7
85.28392776511781,19.68183222474248,Default Dataset (5).csv,85.5,19.5,1
87.43568544713752,19.11654330897866,Default Dataset (5).csv,87.5,19.0,4
83.0774314843323,17.366386856398975,Default Dataset (5).csv,83.0,17.5,1
83.93807910559295,17.117092543351227,Default Dataset (5).csv,84.0,17.0,1
86.09058934432507,16.866372333374702,Default Dataset (5).csv,86.0,17.0,1
93.38730001135436,16.89143115162301,Default Dataset (5).csv,93.5,17.0,6
91.79053310061288,19.44286246167902,Default Dataset (5).csv,92.0,19.5,0
86.38769573727707,17.49586776859504,Default Dataset (6).csv,86.5,17.5,1
89.37680785123966,19.08264462809917,Default Dataset (6).csv,89.5,19.0,4
89.1836804045237,20.801652892561982,Default Dataset (6).csv,89.0,21.0,7
88.44534308394954,21.52892561983471,Default Dataset (6).csv,88.5,21.5,7
90.76442203131796,21.52892561983471,Default Dataset (6).csv,91.0,21.5,0
92.43683394954328,19.413223140495862,Default Dataset (6).csv,92.5,19.5,0
92.33415343627664,17.793388429752063,Default Dataset (6).csv,92.5,18.0,6
83.20578240539365,17.760330578512395,Default Dataset (6).csv,83.0,18.0,1
86.51892127011745,20.68595041322314,Default Dataset (6).csv,86.5,20.5,7
85.5265332753371,18.43801652892562,Default Dataset (6).csv,85.5,18.5,1
89.13980263157895,17.317611503884088,Default Dataset (7).csv,89.0,17.5,4
85.41447368421052,17.176704198306712,Default Dataset (7).csv,85.5,17.0,1
89.70723684210526,19.45816967792616,Default Dataset (7).csv,89.5,19.5,4
92.91447368421052,18.02247534258532,Default Dataset (7).csv,93.0,18.0,6
92.07565789473684,19.728746617788254,Default Dataset (7).csv,92.0,19.5,0
89.60855263157895,21.31533123854412,Default Dataset (7).csv,89.5,21.5,7
90.69407894736842,21.99766518285764,Default Dataset (7).csv,90.5,22.0,0
86.54934210526316,20.694968141747403,Default Dataset (7).csv,86.5,20.5,7
84.69901315789474,18.55157327398097,Default Dataset (7).csv,84.5,18.5,1
82.65131578947368,17.004756917168542,Default Dataset (7).csv,82.5,17.0,1
85.24401913875597,19.69015369722361,Default Dataset (8).csv,85.0,19.5,1
89.74162679425837,20.4579785813093,Default Dataset (8).csv,89.5,20.5,7
88.13875598086125,18.89733416913307,Default Dataset (8).csv,88.0,19.0,4
85.17224880382776,17.899029573028002,Default Dataset (8).csv,85.0,18.0,1
91.99043062200955,17.525141437945837,Default Dataset (8).csv,92.0,17.5,6
89.09569377990431,17.289768594560428,Default Dataset (8).csv,89.0,17.5,4
83.0909090909091,17.415799788934116,Default Dataset (8).csv,83.0,17.5,1
92.27751196172248,19.36625485015116,Default Dataset (8).csv,92.5,19.5,0
89.28022047320162,18.450808124448216,Default Dataset (9).csv,89.5,18.5,4
