centroid_lon,centroid_lat,cluster_id
89.125,21.3125,0
85.5,19.4,1
92.75,18.1875,2
84.25,17.25,3
87.9,19.1,4
91.28571428571429,21.142857142857142,5
91.4,17.5,6
92.28571428571429,19.571428571428573,7
87.0,21.333333333333332,8
89.375,18.625,9
87.5,17.666666666666668,10
82.85,17.25,11
90.55555555555556,21.666666666666668,12
86.0,17.25,13
84.375,18.625,14
85.33333333333333,18.166666666666668,15
90.5,19.333333333333332,16
89.33333333333333,20.333333333333332,17
93.6,17.5,18
86.66666666666667,20.5,19
88.75,17.5,20
89.16666666666667,19.333333333333332,21
91.66666666666667,19.166666666666668,22
88.3,21.5,23
86.5,18.5,24
