x,y,source_file,x_snap,y_snap
93.84375,16.677089110741356,Default Dataset.csv,94.0,16.5
94.13020833333334,18.141633157700127,Default Dataset.csv,94.0,18.0
91.55208333333334,19.519804954705123,Default Dataset.csv,91.5,19.5
91.5,21.483141523386948,Default Dataset.csv,91.5,21.5
89.36458333333334,21.580606396746163,Default Dataset.csv,89.5,21.5
87.95833333333334,19.632291088925864,Default Dataset.csv,88.0,19.5
85.74479166666667,19.663113560732118,Default Dataset.csv,85.5,19.5
84.65104166666667,17.548755546311703,Default Dataset.csv,84.5,17.5
81.99479166666667,16.048304908485857,Default Dataset.csv,82.0,16.0
83.296875,14.269383203919396,Default Dataset.csv,83.5,14.5
86.23958333333334,14.871649103346275,Default Dataset.csv,86.0,15.0
87.515625,16.470402338694768,Default Dataset.csv,87.5,16.5
90.90104166666669,17.206270798668886,Default Dataset.csv,91.0,17.0
89.65104166666667,15.557629645036052,Default Dataset.csv,89.5,15.5
91.44791666666669,14.611203549639493,Default Dataset.csv,91.5,14.5
88.609375,13.360134729155112,Default Dataset.csv,88.5,13.5
85.14583333333334,16.068439175448326,Default Dataset.csv,85.0,16.0
88.609375,17.786091467923832,Default Dataset.csv,88.5,18.0
86.890625,18.00049107968201,Default Dataset.csv,87.0,18.0
88.82136270869705,18.62189054726368,Default Dataset (1).csv,89.0,18.5
84.67483832894834,16.582089552238806,Default Dataset (1).csv,84.5,16.5
82.38316653962478,13.945273631840797,Default Dataset (1).csv,82.5,14.0
81.78520904538264,15.918739635157548,Default Dataset (1).csv,82.0,16.0
92.25452637963396,19.33499170812604,Default Dataset (1).csv,92.5,19.5
88.09792061111249,21.374792703150916,Default Dataset (1).csv,88.0,21.5
86.03721917594893,15.271973466003317,Default Dataset (1).csv,86.0,15.5
89.1057726196038,13.530679933665008,Default Dataset (1).csv,89.0,13.5
93.098043554878,17.991708126036485,Default Dataset (1).csv,93.0,18.0
85.08784741859074,19.451077943615257,Default Dataset (1).csv,85.0,19.5
90.42184464825787,20.960199004975124,Default Dataset (1).csv,90.5,21.0
90.46950584802512,21.67330016583748,Default Dataset (1).csv,90.5,21.5
89.54656700025409,15.155887230514097,Default Dataset (1).csv,89.5,15.0
93.10238756792644,16.233830845771145,Default Dataset (1).csv,93.0,16.0
80.1232449297972,14.209849056213905,Default Dataset (2).csv,80.0,14.0
82.95475819032762,15.570590240828176,Default Dataset (2).csv,83.0,15.5
82.79095163806552,17.0770319554504,Default Dataset (2).csv,83.0,17.0
84.10140405616225,18.56854459608848,Default Dataset (2).csv,84.0,18.5
85.66926677067083,15.07689764544224,Default Dataset (2).csv,85.5,15.0
89.10920436817473,16.322416340362224,Default Dataset (2).csv,89.0,16.5
89.34321372854915,14.369032244733498,Default Dataset (2).csv,89.5,14.5
86.8393135725429,13.555010279881394,Default Dataset (2).csv,87.0,13.5
90.5600624024961,13.57567335806015,Default Dataset (2).csv,90.5,13.5
90.98127925117004,14.58607205215361,Default Dataset (2).csv,91.0,14.5
92.26833073322932,16.160340320897603,Default Dataset (2).csv,92.5,16.0
91.73010920436818,18.17961380706884,Default Dataset (2).csv,91.5,18.0
86.55850234009361,18.35602483701997,Default Dataset (2).csv,86.5,18.5
93.0873634945398,18.0652178405017,Default Dataset (2).csv,93.0,18.0
92.78315132605304,14.93574299263361,Default Dataset (2).csv,93.0,15.0
93.50858034321374,13.628596667045487,Default Dataset (2).csv,93.5,13.5
92.5257410296412,19.372544968023885,Default Dataset (2).csv,92.5,19.5
89.41341653666147,19.799573307435608,Default Dataset (2).csv,89.5,20.0
91.09828393135726,20.94381709043196,Default Dataset (2).csv,91.0,21.0
88.75819032761311,21.504148112944385,Default Dataset (2).csv,89.0,21.5
86.51170046801873,20.67385397402651,Default Dataset (2).csv,86.5,20.5
90.58346333853356,22.08563296174231,Default Dataset (2).csv,90.5,22.0
93.33388157894736,15.686567164179106,Default Dataset (3).csv,93.5,15.5
90.76809210526316,14.044776119402988,Default Dataset (3).csv,91.0,14.0
92.02631578947368,15.371475953565508,Default Dataset (3).csv,92.0,15.5
88.86842105263158,15.636815920398012,Default Dataset (3).csv,89.0,15.5
90.89144736842104,17.660033167495857,Default Dataset (3).csv,91.0,17.5
87.63486842105263,17.560530679933667,Default Dataset (3).csv,87.5,17.5
83.86019736842105,17.079601990049753,Default Dataset (3).csv,84.0,17.0
85.8092105263158,14.276948590381428,Default Dataset (3).csv,86.0,14.5
83.19407894736842,15.023217247097849,Default Dataset (3).csv,83.0,15.0
81.04769736842105,13.6301824212272,Default Dataset (3).csv,81.0,13.5
80.6529605263158,15.50414593698176,Default Dataset (3).csv,80.5,15.5
82.42927631578948,16.913764510779437,Default Dataset (3).csv,82.5,17.0
84.27960526315789,18.62189054726368,Default Dataset (3).csv,84.5,18.5
85.61184210526315,18.986733001658376,Default Dataset (3).csv,85.5,19.0
85.98190789473685,19.948590381426204,Default Dataset (3).csv,86.0,20.0
86.82072368421052,20.927031509121065,Default Dataset (3).csv,87.0,21.0
89.13980263157895,21.50746268656717,Default Dataset (3).csv,89.0,21.5
89.18914473684211,19.517412935323385,Default Dataset (3).csv,89.0,19.5
91.33552631578948,20.827529021558878,Default Dataset (3).csv,91.5,21.0
91.01480263157896,21.80597014925373,Default Dataset (3).csv,91.0,22.0
91.25283630470015,16.45725954468857,Default Dataset (4).csv,91.5,16.5
90.645056726094,18.59235029570556,Default Dataset (4).csv,90.5,18.5
87.9708265802269,18.721848937928662,Default Dataset (4).csv,88.0,18.5
84.32414910858995,17.691333841381606,Default Dataset (4).csv,84.5,17.5
83.83792544570503,15.008677965374003,Default Dataset (4).csv,84.0,15.0
81.26094003241491,14.923052153659556,Default Dataset (4).csv,81.5,15.0
80.48298217179902,15.485107387808988,Default Dataset (4).csv,80.5,15.5
80.43435980551052,13.465186171069154,Default Dataset (4).csv,80.5,13.5
82.57374392220422,16.861587257290672,Default Dataset (4).csv,82.5,17.0
86.00162074554295,19.663384030826364,Default Dataset (4).csv,86.0,19.5
86.94975688816855,21.286947095001448,Default Dataset (4).csv,87.0,21.5
88.38411669367909,21.520318353064926,Default Dataset (4).csv,88.5,21.5
88.967585089141,21.0408299075853,Default Dataset (4).csv,89.0,21.0
90.54781199351702,21.98628269666298,Default Dataset (4).csv,90.5,22.0
91.9578606158833,20.13353440595919,Default Dataset (4).csv,92.0,20.0
92.61426256077796,18.52829864651647,Default Dataset (4).csv,92.5,18.5
93.36790923824958,17.61853445962626,Default Dataset (4).csv,93.5,17.5
92.5413290113452,14.902390331340497,Default Dataset (4).csv,92.5,15.0
91.20421393841168,14.106212500134166,Default Dataset (4).csv,91.0,14.0
87.6061588330632,14.118797428273956,Default Dataset (4).csv,87.5,14.0
91.3393555473992,20.85064521836027,Default Dataset (5).csv,91.5,21.0
90.7443604456192,22.1426926743225,Default Dataset (5).csv,90.5,22.0
88.85183874690065,21.0686226099723,Default Dataset (5).csv,89.0,21.0
85.28392776511781,19.68183222474248,Default Dataset (5).csv,85.5,19.5
87.43568544713752,19.11654330897866,Default Dataset (5).csv,87.5,19.0
83.0774314843323,17.366386856398975,Default Dataset (5).csv,83.0,17.5
83.93807910559295,17.117092543351227,Default Dataset (5).csv,84.0,17.0
80.89604683279246,15.547602512747254,Default Dataset (5).csv,81.0,15.5
79.89166087946154,15.71427402042201,Default Dataset (5).csv,80.0,15.5
86.09058934432507,16.866372333374702,Default Dataset (5).csv,86.0,17.0
88.45773667908605,16.333958263468784,Default Dataset (5).csv,88.5,16.5
89.86533459727654,14.70988806709109,Default Dataset (5).csv,90.0,14.5
86.99385544045693,14.431600516491551,Default Dataset (5).csv,87.0,14.5
84.93418693508737,13.490165272016243,Default Dataset (5).csv,85.0,13.5
91.3474356299956,14.228119743655418,Default Dataset (5).csv,91.5,14.0
83.1426266605758,14.61797052618237,Default Dataset (5).csv,83.0,14.5
80.31729111270131,13.627711514645808,Default Dataset (5).csv,80.5,13.5
92.40271818203423,15.336226495805484,Default Dataset (5).csv,92.5,15.5
93.38730001135436,16.89143115162301,Default Dataset (5).csv,93.5,17.0
91.79053310061288,19.44286246167902,Default Dataset (5).csv,92.0,19.5
93.1181619660478,14.391728213483171,Default Dataset (5).csv,93.0,14.5
88.9984640060896,15.727272727272728,Default Dataset (6).csv,89.0,15.5
90.77318943018705,15.082644628099173,Default Dataset (6).csv,91.0,15.0
86.99713190517616,14.520661157024792,Default Dataset (6).csv,87.0,14.5
89.04242333623314,13.545454545454543,Default Dataset (6).csv,89.0,13.5
86.38769573727707,17.49586776859504,Default Dataset (6).csv,86.5,17.5
89.37680785123966,19.08264462809917,Default Dataset (6).csv,89.5,19.0
89.1836804045237,20.801652892561982,Default Dataset (6).csv,89.0,21.0
88.44534308394954,21.52892561983471,Default Dataset (6).csv,88.5,21.5
90.76442203131796,21.52892561983471,Default Dataset (6).csv,91.0,21.5
92.43683394954328,19.413223140495862,Default Dataset (6).csv,92.5,19.5
92.33415343627664,17.793388429752063,Default Dataset (6).csv,92.5,18.0
92.79597107438016,14.983471074380164,Default Dataset (6).csv,93.0,15.0
84.061562092214,14.636363636363637,Default Dataset (6).csv,84.0,14.5
82.51030339277946,15.859504132231404,Default Dataset (6).csv,82.5,16.0
80.51113255763376,15.528925619834707,Default Dataset (6).csv,80.5,15.5
80.03846781209221,13.942148760330578,Default Dataset (6).csv,80.0,14.0
82.3563234014789,13.446280991735534,Default Dataset (6).csv,82.5,13.5
83.20578240539365,17.760330578512395,Default Dataset (6).csv,83.0,18.0
86.51892127011745,20.68595041322314,Default Dataset (6).csv,86.5,20.5
85.5265332753371,18.43801652892562,Default Dataset (6).csv,85.5,18.5
89.36184210526315,13.736012917866804,Default Dataset (7).csv,89.5,13.5
87.28947368421052,14.958627913066248,Default Dataset (7).csv,87.5,15.0
89.97861842105263,15.395751505629743,Default Dataset (7).csv,90.0,15.5
89.13980263157895,17.317611503884088,Default Dataset (7).csv,89.0,17.5
85.41447368421052,17.176704198306712,Default Dataset (7).csv,85.5,17.0
89.70723684210526,19.45816967792616,Default Dataset (7).csv,89.5,19.5
91.73026315789474,15.565462162869862,Default Dataset (7).csv,91.5,15.5
92.125,14.206467661691542,Default Dataset (7).csv,92.0,14.0
93.50657894736842,15.619141136423146,Default Dataset (7).csv,93.5,15.5
92.91447368421052,18.02247534258532,Default Dataset (7).csv,93.0,18.0
92.07565789473684,19.728746617788254,Default Dataset (7).csv,92.0,19.5
89.60855263157895,21.31533123854412,Default Dataset (7).csv,89.5,21.5
90.69407894736842,21.99766518285764,Default Dataset (7).csv,90.5,22.0
86.54934210526316,20.694968141747403,Default Dataset (7).csv,86.5,20.5
84.69901315789474,18.55157327398097,Default Dataset (7).csv,84.5,18.5
82.65131578947368,17.004756917168542,Default Dataset (7).csv,82.5,17.0
82.92269736842105,15.943997119664832,Default Dataset (7).csv,83.0,16.0
81.22039473684211,14.5637819673562,Default Dataset (7).csv,81.0,14.5
80.06085526315789,13.881284367635509,Default Dataset (7).csv,80.0,14.0
93.0625,13.594941956882256,Default Dataset (7).csv,93.0,13.5
85.24401913875597,19.69015369722361,Default Dataset (8).csv,85.0,19.5
89.74162679425837,20.4579785813093,Default Dataset (8).csv,89.5,20.5
88.13875598086125,18.89733416913307,Default Dataset (8).csv,88.0,19.0
85.17224880382776,17.899029573028002,Default Dataset (8).csv,85.0,18.0
91.99043062200955,17.525141437945837,Default Dataset (8).csv,92.0,17.5
89.09569377990431,17.289768594560428,Default Dataset (8).csv,89.0,17.5
85.98564593301435,16.29130530230295,Default Dataset (8).csv,86.0,16.5
83.0909090909091,17.415799788934116,Default Dataset (8).csv,83.0,17.5
80.55502392344498,15.489281397372524,Default Dataset (8).csv,80.5,15.5
81.29665071770334,13.66588905551985,Default Dataset (8).csv,81.5,13.5
83.13875598086123,14.115686850172317,Default Dataset (8).csv,83.0,14.0
86.05741626794259,14.16866491571912,Default Dataset (8).csv,86.0,14.0
89.04784688995215,15.58158965935871,Default Dataset (8).csv,89.0,15.5
88.76076555023923,13.856562482642609,Default Dataset (8).csv,89.0,14.0
90.7224880382775,13.991401313475157,Default Dataset (8).csv,90.5,14.0
92.42105263157896,14.656629135026622,Default Dataset (8).csv,92.5,14.5
90.96172248803828,16.048050550014416,Default Dataset (8).csv,91.0,16.0
92.6842105263158,13.595560210642692,Default Dataset (8).csv,92.5,13.5
92.27751196172248,19.36625485015116,Default Dataset (8).csv,92.5,19.5
88.57065956801637,16.111715188124073,Default Dataset (9).csv,88.5,16.0
91.31217781689668,15.617233726818249,Default Dataset (9).csv,91.5,15.5
89.28022047320162,18.450808124448216,Default Dataset (9).csv,89.5,18.5
85.447955604812,19.557682347921528,Default Dataset (9).csv,85.5,19.5
87.80221009893924,19.51053392834621,Default Dataset (9).csv,88.0,19.5
90.4730057184566,19.878329169495483,Default Dataset (9).csv,90.5,20.0
91.5427408339662,20.609196759451823,Default Dataset (9).csv,91.5,20.5
90.84139132114863,21.65319747861952,Default Dataset (9).csv,91.0,21.5
88.82605802180582,21.33587814937757,Default Dataset (9).csv,89.0,21.5
86.98147338140308,21.3670063034512,Default Dataset (9).csv,87.0,21.5
85.2738660362321,17.83278009300878,Default Dataset (9).csv,85.5,18.0
82.79627964889589,17.067188510490993,Default Dataset (9).csv,83.0,17.0
80.55944001524206,15.48925944511382,Default Dataset (9).csv,80.5,15.5
81.52665348192555,13.981207718708829,Default Dataset (9).csv,81.5,14.0
92.18246465210264,14.17540983166646,Default Dataset (9).csv,92.0,14.0
84.85536678894307,15.4110902099272,Default Dataset (9).csv,85.0,15.5
92.60563312250272,18.5208196364983,Default Dataset (9).csv,92.5,18.5
93.37967760892842,17.4271480438907,Default Dataset (9).csv,93.5,17.5
93.15756749576684,15.91778142132225,Default Dataset (9).csv,93.0,16.0
81.19934102141681,13.630182421227198,Default Dataset (10).csv,81.0,13.5
82.97858319604613,16.28358208955224,Default Dataset (10).csv,83.0,16.5
87.77265238879737,17.427860696517413,Default Dataset (10).csv,88.0,17.5
93.01153212520592,16.250414593698178,Default Dataset (10).csv,93.0,16.5
92.81383855024713,13.97844112769486,Default Dataset (10).csv,93.0,14.0
91.55354200988468,18.92039800995025,Default Dataset (10).csv,91.5,19.0
89.0329489291598,18.82089552238806,Default Dataset (10).csv,89.0,19.0
89.08237232289952,20.41293532338309,Default Dataset (10).csv,89.0,20.5
85.17792421746294,18.986733001658376,Default Dataset (10).csv,85.0,19.0
83.22570016474465,17.610281923714762,Default Dataset (10).csv,83.0,17.5
86.51235584843494,20.67827529021559,Default Dataset (10).csv,86.5,20.5
87.77265238879737,21.60696517412936,Default Dataset (10).csv,88.0,21.5
90.68863261943989,21.5240464344942,Default Dataset (10).csv,90.5,21.5
92.4678747940692,18.257048092868988,Default Dataset (10).csv,92.5,18.5
93.06095551894563,17.958540630182423,Default Dataset (10).csv,93.0,18.0
91.1334431630972,15.30514096185738,Default Dataset (10).csv,91.0,15.5
88.85996705107084,15.27197346600332,Default Dataset (10).csv,89.0,15.5
84.75782537067546,14.87396351575456,Default Dataset (10).csv,85.0,15.0
83.22570016474465,13.298507462686567,Default Dataset (10).csv,83.0,13.5
87.03130148270182,13.812603648424544,Default Dataset (10).csv,87.0,14.0
90.0344827586207,13.636892887676588,Default Dataset (11).csv,90.0,13.5
86.53694581280789,15.049559635766531,Default Dataset (11).csv,86.5,15.0
83.08866995073892,14.098481455848226,Default Dataset (11).csv,83.0,14.0
80.72413793103449,13.921874363880631,Default Dataset (11).csv,80.5,14.0
80.69950738916256,15.442589803091373,Default Dataset (11).csv,80.5,15.5
84.51724137931035,16.624258708898207,Default Dataset (11).csv,84.5,16.5
85.82266009852218,17.69576191833245,Default Dataset (11).csv,86.0,17.5
82.91625615763547,17.173241596439087,Default Dataset (11).csv,83.0,17.0
86.11822660098522,18.85213532548956,Default Dataset (11).csv,86.0,19.0
84.61576354679804,18.9876779437908,Default Dataset (11).csv,84.5,19.0
90.256157635468,19.66946219924276,Default Dataset (11).csv,90.5,19.5
89.27093596059115,18.365848362713567,Default Dataset (11).csv,89.5,18.5
88.43349753694582,17.24372701488689,Default Dataset (11).csv,88.5,17.0
89.17241379310346,15.523090284845772,Default Dataset (11).csv,89.0,15.5
91.24137931034484,14.890431407672788,Default Dataset (11).csv,91.0,15.0
92.15270935960592,13.566108917206096,Default Dataset (11).csv,92.0,13.5
92.9408866995074,15.580900812875734,Default Dataset (11).csv,93.0,15.5
91.70935960591132,17.401796740354733,Default Dataset (11).csv,91.5,17.5
92.10344827586208,19.235638969181288,Default Dataset (11).csv,92.0,19.0
93.50738916256158,17.480478768880022,Default Dataset (11).csv,93.5,17.5
90.65024630541872,21.12313913881312,Default Dataset (11).csv,90.5,21.0
87.42364532019705,20.65091126219653,Default Dataset (11).csv,87.5,20.5
86.51231527093597,20.735564331175617,Default Dataset (11).csv,86.5,20.5
88.58128078817734,21.7062112391266,Default Dataset (11).csv,88.5,21.5
